GENDER;INTERNET;TV;COMPUTER;WASHING_MCH;MIC_OVEN;CAR;DVD;FRESH;PHONE;MOBILE;SCHOOL_NAT;SCHOOL_TYPE;MAT_S11;CR_S11;CC_S11;BIO_S11;ENG_S11;ACADEMIC_PROGRAM;QR_PRO;CR_PRO;CC_PRO;ENG_PRO;WC_PRO;FEP_PRO;G_SC;PERCENTILE;2ND_DECILE;QUARTILE;SEL;SEL_IHE
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;67;68;81;80;INDUSTRIAL ENGINEERING;96;80;83;100;29;188;183;93;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;73;68;63;72;82;INDUSTRIAL ENGINEERING;99;91;88;98;81;187;196;98;5;4;4;4
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;63;58;39;64;76;MECHANICAL ENGINEERING;88;1;25;94;94;152;155;64;4;3;1;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;72;60;65;64;78;CIVIL ENGINEERING;100;95;34;99;12;185;176;88;5;4;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;62;62;56;65;71;ELECTRIC ENGINEERING AND TELECOMMUNICATIONS;78;58;70;76;38;173;160;71;4;3;4;2
M;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;72;65;56;66;96;INDUSTRIAL ENGINEERING;92;84;73;97;90;163;187;95;5;4;2;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;56;60;49;44;64;CIVIL ENGINEERING;67;11;49;82;74;141;153;61;4;3;3;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;51;54;48;48;39;INDUSTRIAL ENGINEERING;89;9;8;58;59;119;139;39;2;2;4;2
F;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;51;49;48;57;59;MECHANICAL ENGINEERING;46;25;5;86;19;141;135;32;2;2;3;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;60;57;68;80;ELECTRIC ENGINEERING;100;93;65;91;27;167;180;91;5;4;4;4
F;No;No;No;Yes;No;No;No;Yes;Yes;No;PRIVATE;ACADEMIC;55;68;56;55;62;INDUSTRIAL ENGINEERING;12;33;51;61;52;125;138;37;2;2;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;62;59;75;88;ELECTRIC ENGINEERING;98;100;89;100;93;153;220;100;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;72;52;48;61;82;INDUSTRIAL ENGINEERING;72;91;72;93;71;167;177;89;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;81;83;85;92;MECHANICAL ENGINEERING;83;91;100;100;93;205;203;99;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;74;62;68;75;88;INDUSTRIAL ENGINEERING;67;75;78;96;67;185;175;87;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;54;54;45;55;49;INDUSTRIAL ENGINEERING;97;3;8;44;12;114;129;23;2;1;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;53;52;36;49;64;CIVIL ENGINEERING;100;99;10;85;71;71;177;88;5;4;2;3
F;No;No;No;No;No;Yes;Yes;No;No;Yes;PRIVATE;ACADEMIC;46;67;53;58;100;INDUSTRIAL ENGINEERING;35;1;2;8;62;120;110;5;1;1;1;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;54;57;45;51;40;INDUSTRIAL ENGINEERING;61;20;11;18;49;97;130;24;2;1;2;2
